program_id,word,synonym,field,weight,source,needs_review
lit_philosophy,文学部,,faculty,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,哲学科,,department,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,人文,人文が好き|人文に興味|人文を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,思想,思想が好き|思想に興味|思想を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,言語文化,言語文化が好き|言語文化に興味|言語文化を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,哲学,哲学が好き|哲学に興味|哲学を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,思想,思想が好き|思想に興味|思想を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,倫理,倫理が好き|倫理に興味|倫理を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,問い,問いが好き|問いに興味|問いを学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,人間,人間が好き|人間に興味|人間を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,論理,論理が好き|論理に興味|論理を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,宗教,宗教が好き|宗教に興味|宗教を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,価値観,価値観が好き|価値観に興味|価値観を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,哲学,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,思想,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,倫理,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,問い,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,人文,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,思想,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,言語文化,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,哲学,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,思想,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,倫理,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,問い,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,人間,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,論理,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,宗教,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_philosophy,価値観,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/dphi/,True
lit_oriental,文学部,,faculty,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,東洋思想文化学科,,department,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,人文,人文が好き|人文に興味|人文を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,思想,思想が好き|思想に興味|思想を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,国際文化,国際文化が好き|国際文化に興味|国際文化を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,東洋思想,東洋思想が好き|東洋思想に興味|東洋思想を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,文化,文化が好き|文化に興味|文化を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,歴史,歴史が好き|歴史に興味|歴史を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,宗教,宗教が好き|宗教に興味|宗教を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,アジア,アジアが好き|アジアに興味|アジアを学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,言語,言語が好き|言語に興味|言語を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,思想,思想が好き|思想に興味|思想を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,東洋思想,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,文化,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,歴史,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,宗教,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,人文,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,思想,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,国際文化,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,東洋思想,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,文化,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,歴史,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,宗教,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,アジア,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,言語,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_oriental,思想,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/depc/,True
lit_japanese,文学部,,faculty,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,日本文学文化学科,,department,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,人文,人文が好き|人文に興味|人文を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,言語文化,言語文化が好き|言語文化に興味|言語文化を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,表現,表現が好き|表現に興味|表現を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,日本文学,日本文学が好き|日本文学に興味|日本文学を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,日本文化,日本文化が好き|日本文化に興味|日本文化を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,言葉,言葉が好き|言葉に興味|言葉を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,古典,古典が好き|古典に興味|古典を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,現代文学,現代文学が好き|現代文学に興味|現代文学を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,表現,表現が好き|表現に興味|表現を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,編集,編集が好き|編集に興味|編集を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,日本文学,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,日本文化,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,言葉,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,古典,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,人文,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,言語文化,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,表現,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,日本文学,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,日本文化,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,言葉,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,古典,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,現代文学,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,表現,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_japanese,編集,,research,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/djlc/,True
lit_english,文学部,,faculty,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,英米文学科,,department,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,語学,語学が好き|語学に興味|語学を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,国際文化,国際文化が好き|国際文化に興味|国際文化を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,表現,表現が好き|表現に興味|表現を学びたい,area,4,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,英語,英語が好き|英語に興味|英語を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,英米文学,英米文学が好き|英米文学に興味|英米文学を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,異文化理解,異文化理解が好き|異文化理解に興味|異文化理解を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,翻訳,翻訳が好き|翻訳に興味|翻訳を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,言語,言語が好き|言語に興味|言語を学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,コミュニケーション,コミュニケーションが好き|コミュニケーションに興味|コミュニケーションを学びたい,tag,5,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,英語,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,英米文学,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,異文化理解,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,翻訳,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,語学,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,国際文化,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
lit_english,表現,,policy,3,https://www.toyo.ac.jp/nyushi/undergraduate/lit/deal/,True
